x,50_mean_area,50_std_area,50_mean_topplings,50_std_topplings,75_mean_area,75_std_area,75_mean_topplings,75_std_topplings,100_mean_area,100_std_area,100_mean_topplings,100_std_topplings,125_mean_area,125_std_area,125_mean_topplings,125_std_topplings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007142857142857143,65.7,17.146719802924405,66.0,17.35511451993331,182.1,37.694694586904404,183.7,38.78672453301516,322.9,41.52457103932562,327.4,42.66895827179285,501.1,50.71972003077304,507.9,54.386487292341286
0.014285714285714285,162.5,46.70171303068015,165.5,47.06219289408431,345.1,36.012358989657976,350.0,36.43624569024641,632.6,63.64935192128824,642.9,65.74412521282795,984.6,75.4124658130206,1006.7,87.34534904618563
0.02142857142857143,211.8,11.906300852909775,215.2,11.565465835840769,518.1,38.74390274610961,532.5,42.363309596866955,904.4,55.3953066604022,928.0,61.33351449248608,1418.3,96.17177340571399,1453.0,106.87749997076091
0.02857142857142857,283.5,31.302555806195763,288.3,32.765988463649315,671.9,48.26479047918886,690.3,49.12850496402267,1189.9,61.45803446255014,1216.4,68.08994051987415,1867.9,77.66138036373033,1907.9,82.90651361624127
0.03571428571428571,384.5,52.94761562148007,401.1,58.24165176229122,794.2,52.27580702389969,818.3,56.4553806115945,1437.6,79.75988966893073,1485.4,92.2347006283427,2340.0,93.70699013414101,2416.9,120.27090254920348
0.04285714285714286,423.4,33.69629059703753,437.2,31.911753320681083,985.5,60.52478831024525,1025.3,68.92611986757996,1752.6,74.98959927883332,1820.0,88.4036198353891,2723.6,112.60657174428144,2833.4,128.13524105412998
0.049999999999999996,496.9,44.699999999999996,515.6,49.58064138350774,1155.3,44.332944860453374,1221.6,57.21398430453869,1982.0,83.87252231809892,2078.0,114.93476410555685,3075.8,113.4643556364729,3235.9,157.85401483649377
0.05714285714285714,552.3,46.94049424537411,577.9,58.75619116314467,1284.5,90.64573900630961,1369.6,104.70071632992776,2200.9,103.6816762981772,2315.2,134.95243606545233,3486.0,92.13034245024816,3693.3,107.82954140679631
0.06428571428571428,625.3,61.10654629415738,659.5,77.81934206866568,1423.0,93.09779804055519,1524.5,122.41834012924697,2518.9,61.59131432271924,2708.5,80.83099652979666,3924.4,106.56284530735842,4174.0,140.63569959295543
0.07142857142857142,668.7,46.08047308784926,707.9,59.89232004188851,1536.8,83.0106017325498,1651.3,98.82818423911269,2722.0,87.17224328879004,2934.8,97.80777065243845,4329.8,114.11555546900692,4676.6,142.3869376031383
0.07857142857142857,728.4,48.89212615544552,793.6,64.35402085340122,1645.3,69.2676692259816,1787.3,98.734036684418,3004.8,123.55873097438318,3285.0,155.84607791022526,4636.8,95.75259787598455,5053.8,112.5173764358199
0.08571428571428572,785.3,73.388078050866,860.4,100.64213829206929,1812.3,113.35876675405392,1998.0,167.49567158586515,3162.4,96.54035425665269,3466.7,159.6546585602813,5052.7,69.43637375324262,5590.9,93.22601568231906
0.09285714285714286,838.6,46.79786319908207,943.1,74.48013157883115,1953.5,96.80108470466641,2230.5,157.19812339846808,3424.9,99.18512993387668,3813.7,159.03713402850292,5474.7,139.56292487620055,6161.0,198.3643113062428
0.09999999999999999,899.7,32.30495318058827,1025.8,61.76536246149617,2111.1,57.37150860836762,2400.5,115.91915286094874,3715.5,98.74335420675156,4252.3,152.98303827548986,5880.0,187.57665099899828,6722.9,277.3165880361289
0.10714285714285714,983.3,66.06065394771687,1129.3,101.70943908998811,2179.3,81.67257801734925,2505.9,120.70745627342164,3904.6,104.1020653013186,4478.9,157.99585437599302,6206.7,114.40371497464582,7310.8,221.92241887650738
0.11428571428571428,1024.3,45.473178908011256,1195.0,79.94748276212329,2342.5,106.88802552203872,2767.7,159.07862835717435,4234.4,143.4239868362332,5076.4,233.61344139411156,6555.3,121.94839072328917,7869.1,261.64879132149645
0.12142857142857143,1085.8,65.72335962197916,1323.1,122.65027517294855,2459.9,87.79003360290962,3019.7,199.17582684653274,4500.7,121.39114465231802,5503.2,258.3701995199911,6928.7,196.38485175797035,8453.3,453.4631297029561
0.12857142857142856,1110.7,62.995317286287246,1357.3,108.56339161982734,2607.0,130.19370184459768,3250.5,280.96449953686323,4652.4,139.97799827115688,5821.2,269.895090729713,7276.3,149.67969134121034,9101.7,273.4041148190715
0.1357142857142857,1209.2,48.671963182103106,1504.2,127.4431638025359,2743.6,105.90297446247673,3511.9,246.56863141932715,4855.6,181.5825982851881,6260.8,503.5698164107932,7676.8,152.2857839721095,9805.5,453.75263084636765
0.14285714285714285,1238.0,59.312730505347666,1557.3,133.17285759493186,2906.5,105.92379336107633,3876.2,276.55263513479673,5095.0,108.77591645212648,6695.6,325.12772874671884,8027.6,194.87288164339338,10667.3,506.5651093393622
0.15,1275.4,76.09099815352668,1672.6,173.5887093102544,2965.7,109.651310981675,3990.4,294.1792650748859,5392.0,109.23918710792387,7447.1,328.4951902235404,8330.1,170.530613087504,11400.7,468.15874444465953
0.15714285714285714,1381.1,42.912585566474554,1899.9,128.40829412463978,3097.0,167.6651424715346,4379.2,604.8645798854484,5599.0,113.30578096460921,7979.5,343.3305258784893,8870.2,180.4703853822006,12573.3,620.842500156038
0.16428571428571428,1441.2,77.01921838086908,2130.5,268.32974117678424,3265.0,143.48379699464326,4667.4,393.8799817203205,5795.4,139.01381226338626,8477.4,571.667595723249,9232.5,182.5197249614408,13769.6,723.0599145299095
